time_s,ECG
1.5234375,-0.35775
1.5312500,-0.47497
1.5390625,-0.59219
1.5468750,-0.70696
1.5546875,-0.82173
1.5625000,-0.93407
1.5703125,-1.04396
1.5781250,-1.14896
1.5859375,-1.25397
1.5937500,-1.35653
1.6015625,-1.45421
1.6093750,-1.54701
1.6171875,-1.63980
1.6250000,-1.72527
1.6328125,-1.80830
1.6406250,-1.88645
1.6484375,-1.95971
1.6562500,-2.02808
1.6640625,-2.09402
1.6718750,-2.15263
1.6796875,-2.20635
1.6875000,-2.25519
1.6953125,-2.29915
1.7031250,-2.33578
1.7109375,-2.36752
1.7187500,-2.39438
1.7265625,-2.41392
1.7343750,-2.42857
1.7421875,-2.43834
1.7500000,-2.44078
1.7578125,-2.43834
1.7656250,-2.42857
1.7734375,-2.41392
1.7812500,-2.39438
1.7890625,-2.36752
1.7968750,-2.33578
1.8046875,-2.29915
1.8125000,-2.25519
1.8203125,-2.20635
1.8281250,-2.15263
1.8359375,-2.09402
1.8437500,-2.02808
1.8515625,-1.95971
1.8593750,-1.88645
1.8671875,-1.80830
1.8750000,-1.72527
1.8828125,-1.63980
1.8906250,-1.54701
1.8984375,-1.45421
1.9062500,-1.35653
1.9140625,-1.25397
1.9218750,-1.14896
1.9296875,-1.04396
1.9375000,-0.93407
1.9453125,-0.82173
1.9531250,-0.70696
1.9609375,-0.59219
1.9687500,-0.47497
1.9765625,-0.35775
1.9843750,-0.23810
1.9921875,-0.11844
2.0000000,0.00122
2.0078125,0.12088
2.0156250,0.24054
2.0234375,0.36020
2.0312500,0.47741
2.0390625,0.59463
2.0468750,0.70940
2.0546875,0.82418
2.0625000,0.93651
2.0703125,1.04640
2.0781250,1.15140
2.0859375,1.25641
2.0937500,1.35897
2.1015625,1.45665
2.1093750,1.54945
2.1171875,1.64225
2.1250000,1.72772
2.1328125,1.81074
2.1406250,1.88889
2.1484375,1.96215
2.1562500,2.03053
2.1640625,2.09646
2.1718750,2.15507
2.1796875,2.20879
2.1875000,2.25763
2.1953125,2.30159
2.2031250,2.33822
2.2109375,2.36996
2.2187500,2.39683
2.2265625,2.41636
2.2343750,2.43101
2.2421875,2.44078
2.2500000,2.44322
2.2578125,2.44078
2.2656250,2.43101
2.2734375,2.41636
2.2812500,2.39683
2.2890625,2.36996
2.2968750,2.33822
2.3046875,2.30159
2.3125000,2.25763
2.3203125,2.20879
2.3281250,2.15507
2.3359375,2.09646
2.3437500,2.03053
2.3515625,1.96215
2.3593750,1.88889
2.3671875,1.81074
2.3750000,1.72772
2.3828125,1.64225
2.3906250,1.54945
2.3984375,1.45665
2.4062500,1.35897
2.4140625,1.25641
2.4218750,1.15140
2.4296875,1.04640
2.4375000,0.93651
2.4453125,0.82418
2.4531250,0.70940
2.4609375,0.59463
2.4687500,0.47741
2.4765625,0.36020
2.4843750,0.24054
2.4921875,0.12088
2.5000000,0.00122
2.5078125,-0.11844
2.5156250,-0.23810
2.5234375,-0.35775
2.5312500,-0.47497
2.5390625,-0.59219
2.5468750,-0.70696
2.5546875,-0.82173
2.5625000,-0.93407
2.5703125,-1.04396
2.5781250,-1.14896
2.5859375,-1.25397
2.5937500,-1.35653
2.6015625,-1.45421
2.6093750,-1.54701
2.6171875,-1.63980
2.6250000,-1.72527
2.6328125,-1.80830
2.6406250,-1.88645
2.6484375,-1.95971
2.6562500,-2.02808
2.6640625,-2.09402
2.6718750,-2.15263
2.6796875,-2.20635
2.6875000,-2.25519
2.6953125,-2.29915
2.7031250,-2.33578
2.7109375,-2.36752
2.7187500,-2.39438
2.7265625,-2.41392
2.7343750,-2.42857
2.7421875,-2.43834
2.7500000,-2.44078
2.7578125,-2.43834
2.7656250,-2.42857
2.7734375,-2.41392
2.7812500,-2.39438
2.7890625,-2.36752
2.7968750,-2.33578
2.8046875,-2.29915
2.8125000,-2.25519
2.8203125,-2.20635
2.8281250,-2.15263
2.8359375,-2.09402
2.8437500,-2.02808
2.8515625,-1.95971
2.8593750,-1.88645
2.8671875,-1.80830
2.8750000,-1.72527
2.8828125,-1.63980
2.8906250,-1.54701
2.8984375,-1.45421
2.9062500,-1.35653
2.9140625,-1.25397
2.9218750,-1.14896
2.9296875,-1.04396
2.9375000,-0.93407
2.9453125,-0.82173
2.9531250,-0.70696
2.9609375,-0.59219
2.9687500,-0.47497
2.9765625,-0.35775
2.9843750,-0.23810
2.9921875,-0.11844
