time_s,channel,value
0.55859375,EEG Fpz-Cz,-108.974
0.56250000,EEG Fpz-Cz,-112.759
0.56250000,ECG,-0.93407
0.56640625,EEG Fpz-Cz,-115.934
0.57031250,EEG Fpz-Cz,-118.376
0.57031250,ECG,-1.04396
0.57421875,EEG Fpz-Cz,-120.208
0.57812500,EEG Fpz-Cz,-121.429
0.57812500,ECG,-1.14896
0.58203125,EEG Fpz-Cz,-122.039
0.58593750,EEG Fpz-Cz,-121.917
0.58593750,ECG,-1.25397
0.58984375,EEG Fpz-Cz,-121.062
0.59375000,EEG Fpz-Cz,-119.719
0.59375000,ECG,-1.35653
0.59765625,EEG Fpz-Cz,-117.643
0.60156250,EEG Fpz-Cz,-114.957
0.60156250,ECG,-1.45421
0.60546875,EEG Fpz-Cz,-111.538
0.60937500,EEG Fpz-Cz,-107.631
0.60937500,ECG,-1.54701
0.61328125,EEG Fpz-Cz,-103.114
0.61718750,EEG Fpz-Cz,-97.985
0.61718750,ECG,-1.63980
0.62109375,EEG Fpz-Cz,-92.369
0.62500000,EEG Fpz-Cz,-86.264
0.62500000,ECG,-1.72527
0.62890625,EEG Fpz-Cz,-79.670
0.63281250,EEG Fpz-Cz,-72.711
0.63281250,ECG,-1.80830
0.63671875,EEG Fpz-Cz,-65.263
0.64062500,EEG Fpz-Cz,-57.448
0.64062500,ECG,-1.88645
0.64453125,EEG Fpz-Cz,-49.389
0.64843750,EEG Fpz-Cz,-41.087
0.64843750,ECG,-1.95971
0.65234375,EEG Fpz-Cz,-32.540
0.65625000,EEG Fpz-Cz,-23.748
0.65625000,ECG,-2.02808
0.66015625,EEG Fpz-Cz,-14.835
0.66406250,EEG Fpz-Cz,-5.922
0.66406250,ECG,-2.09402
0.66796875,EEG Fpz-Cz,3.114
0.67187500,EEG Fpz-Cz,12.027
0.67187500,ECG,-2.15263
0.67578125,EEG Fpz-Cz,20.940
0.67968750,EEG Fpz-Cz,29.731
0.67968750,ECG,-2.20635
0.68359375,EEG Fpz-Cz,38.400
0.68750000,EEG Fpz-Cz,46.825
0.68750000,ECG,-2.25519
0.69140625,EEG Fpz-Cz,55.006
0.69531250,EEG Fpz-Cz,62.821
0.69531250,ECG,-2.29915
0.69921875,EEG Fpz-Cz,70.391
0.70312500,EEG Fpz-Cz,77.473
0.70312500,ECG,-2.33578
0.70703125,EEG Fpz-Cz,84.310
0.71093750,EEG Fpz-Cz,90.537
0.71093750,ECG,-2.36752
0.71484375,EEG Fpz-Cz,96.276
0.71875000,EEG Fpz-Cz,101.526
0.71875000,ECG,-2.39438
0.72265625,EEG Fpz-Cz,106.288
0.72656250,EEG Fpz-Cz,110.440
0.72656250,ECG,-2.41392
0.73046875,EEG Fpz-Cz,113.980
0.73437500,EEG Fpz-Cz,116.911
0.73437500,ECG,-2.42857
0.73828125,EEG Fpz-Cz,119.231
0.74218750,EEG Fpz-Cz,120.818
0.74218750,ECG,-2.43834
0.74609375,EEG Fpz-Cz,121.795
0.75000000,EEG Fpz-Cz,122.161
0.75000000,ECG,-2.44078
0.75390625,EEG Fpz-Cz,121.795
0.75781250,EEG Fpz-Cz,120.818
0.75781250,ECG,-2.43834
0.76171875,EEG Fpz-Cz,119.231
0.76562500,EEG Fpz-Cz,116.911
0.76562500,ECG,-2.42857
0.76953125,EEG Fpz-Cz,113.980
0.77343750,EEG Fpz-Cz,110.440
0.77343750,ECG,-2.41392
0.77734375,EEG Fpz-Cz,106.288
0.78125000,EEG Fpz-Cz,101.526
0.78125000,ECG,-2.39438
0.78515625,EEG Fpz-Cz,96.276
0.78906250,EEG Fpz-Cz,90.537
0.78906250,ECG,-2.36752
0.79296875,EEG Fpz-Cz,84.310
0.79687500,EEG Fpz-Cz,77.473
0.79687500,ECG,-2.33578
0.80078125,EEG Fpz-Cz,70.391
0.80468750,EEG Fpz-Cz,62.821
0.80468750,ECG,-2.29915
0.80859375,EEG Fpz-Cz,55.006
0.81250000,EEG Fpz-Cz,46.825
0.81250000,ECG,-2.25519
0.81640625,EEG Fpz-Cz,38.400
0.82031250,EEG Fpz-Cz,29.731
0.82031250,ECG,-2.20635
0.82421875,EEG Fpz-Cz,20.940
0.82812500,EEG Fpz-Cz,12.027
0.82812500,ECG,-2.15263
0.83203125,EEG Fpz-Cz,3.114
0.83593750,EEG Fpz-Cz,-5.922
0.83593750,ECG,-2.09402
0.83984375,EEG Fpz-Cz,-14.835
0.84375000,EEG Fpz-Cz,-23.748
0.84375000,ECG,-2.02808
0.84765625,EEG Fpz-Cz,-32.540
0.85156250,EEG Fpz-Cz,-41.087
0.85156250,ECG,-1.95971
0.85546875,EEG Fpz-Cz,-49.389
0.85937500,EEG Fpz-Cz,-57.448
0.85937500,ECG,-1.88645
0.86328125,EEG Fpz-Cz,-65.263
0.86718750,EEG Fpz-Cz,-72.711
0.86718750,ECG,-1.80830
0.87109375,EEG Fpz-Cz,-79.670
0.87500000,EEG Fpz-Cz,-86.264
0.87500000,ECG,-1.72527
0.87890625,EEG Fpz-Cz,-92.369
0.88281250,EEG Fpz-Cz,-97.985
0.88281250,ECG,-1.63980
0.88671875,EEG Fpz-Cz,-103.114
0.89062500,EEG Fpz-Cz,-107.631
0.89062500,ECG,-1.54701
0.89453125,EEG Fpz-Cz,-111.538
0.89843750,EEG Fpz-Cz,-114.957
0.89843750,ECG,-1.45421
0.90234375,EEG Fpz-Cz,-117.643
0.90625000,EEG Fpz-Cz,-119.719
0.90625000,ECG,-1.35653
0.91015625,EEG Fpz-Cz,-121.062
0.91406250,EEG Fpz-Cz,-121.917
0.91406250,ECG,-1.25397
0.91796875,EEG Fpz-Cz,-122.039
0.92187500,EEG Fpz-Cz,-121.429
0.92187500,ECG,-1.14896
0.92578125,EEG Fpz-Cz,-120.208
0.92968750,EEG Fpz-Cz,-118.376
0.92968750,ECG,-1.04396
0.93359375,EEG Fpz-Cz,-115.934
0.93750000,EEG Fpz-Cz,-112.759
0.93750000,ECG,-0.93407
0.94140625,EEG Fpz-Cz,-108.974
0.94531250,EEG Fpz-Cz,-104.701
0.94531250,ECG,-0.82173
0.94921875,EEG Fpz-Cz,-99.817
0.95312500,EEG Fpz-Cz,-94.322
0.95312500,ECG,-0.70696
0.95703125,EEG Fpz-Cz,-88.339
0.96093750,EEG Fpz-Cz,-81.990
0.96093750,ECG,-0.59219
0.96484375,EEG Fpz-Cz,-75.031
0.96875000,EEG Fpz-Cz,-67.827
0.96875000,ECG,-0.47497
0.97265625,EEG Fpz-Cz,-60.134
0.97656250,EEG Fpz-Cz,-52.198
0.97656250,ECG,-0.35775
0.98046875,EEG Fpz-Cz,-43.895
0.98437500,EEG Fpz-Cz,-35.348
0.98437500,ECG,-0.23810
0.98828125,EEG Fpz-Cz,-26.679
0.99218750,EEG Fpz-Cz,-17.888
0.99218750,ECG,-0.11844
0.99609375,EEG Fpz-Cz,-8.974
1.00000000,EEG Fpz-Cz,0.061
1.00000000,ECG,0.00122
1.00000000,Temp rectal,37.14725
1.00390625,EEG Fpz-Cz,9.096
1.00781250,EEG Fpz-Cz,18.010
1.00781250,ECG,0.12088
1.01171875,EEG Fpz-Cz,26.801
1.01562500,EEG Fpz-Cz,35.470
1.01562500,ECG,0.24054
1.01953125,EEG Fpz-Cz,44.017
1.02343750,EEG Fpz-Cz,52.320
1.02343750,ECG,0.36020
1.02734375,EEG Fpz-Cz,60.256
1.03125000,EEG Fpz-Cz,67.949
1.03125000,ECG,0.47741
1.03515625,EEG Fpz-Cz,75.153
1.03906250,EEG Fpz-Cz,82.112
1.03906250,ECG,0.59463
1.04296875,EEG Fpz-Cz,88.462
1.04687500,EEG Fpz-Cz,94.444
1.04687500,ECG,0.70940
1.05078125,EEG Fpz-Cz,99.939
1.05468750,EEG Fpz-Cz,104.823
1.05468750,ECG,0.82418
1.05859375,EEG Fpz-Cz,109.096
1.06250000,EEG Fpz-Cz,112.882
1.06250000,ECG,0.93651
1.06640625,EEG Fpz-Cz,116.056
1.07031250,EEG Fpz-Cz,118.498
1.07031250,ECG,1.04640
1.07421875,EEG Fpz-Cz,120.330
1.07812500,EEG Fpz-Cz,121.551
1.07812500,ECG,1.15140
1.08203125,EEG Fpz-Cz,122.161
1.08593750,EEG Fpz-Cz,122.039
1.08593750,ECG,1.25641
1.08984375,EEG Fpz-Cz,121.184
1.09375000,EEG Fpz-Cz,119.841
1.09375000,ECG,1.35897
1.09765625,EEG Fpz-Cz,117.766
1.10156250,EEG Fpz-Cz,115.079
1.10156250,ECG,1.45665
1.10546875,EEG Fpz-Cz,111.661
1.10937500,EEG Fpz-Cz,107.753
1.10937500,ECG,1.54945
1.11328125,EEG Fpz-Cz,103.236
1.11718750,EEG Fpz-Cz,98.107
1.11718750,ECG,1.64225
1.12109375,EEG Fpz-Cz,92.491
1.12500000,EEG Fpz-Cz,86.386
1.12500000,ECG,1.72772
1.12890625,EEG Fpz-Cz,79.792
1.13281250,EEG Fpz-Cz,72.833
1.13281250,ECG,1.81074
1.13671875,EEG Fpz-Cz,65.385
1.14062500,EEG Fpz-Cz,57.570
1.14062500,ECG,1.88889
1.14453125,EEG Fpz-Cz,49.512
1.14843750,EEG Fpz-Cz,41.209
1.14843750,ECG,1.96215
1.15234375,EEG Fpz-Cz,32.662
1.15625000,EEG Fpz-Cz,23.871
1.15625000,ECG,2.03053
1.16015625,EEG Fpz-Cz,14.957
1.16406250,EEG Fpz-Cz,6.044
1.16406250,ECG,2.09646
1.16796875,EEG Fpz-Cz,-2.991
1.17187500,EEG Fpz-Cz,-11.905
1.17187500,ECG,2.15507
1.17578125,EEG Fpz-Cz,-20.818
1.17968750,EEG Fpz-Cz,-29.609
1.17968750,ECG,2.20879
1.18359375,EEG Fpz-Cz,-38.278
1.18750000,EEG Fpz-Cz,-46.703
1.18750000,ECG,2.25763
1.19140625,EEG Fpz-Cz,-54.884
1.19531250,EEG Fpz-Cz,-62.698
1.19531250,ECG,2.30159
1.19921875,EEG Fpz-Cz,-70.269
1.20312500,EEG Fpz-Cz,-77.350
1.20312500,ECG,2.33822
1.20703125,EEG Fpz-Cz,-84.188
1.21093750,EEG Fpz-Cz,-90.415
1.21093750,ECG,2.36996
1.21484375,EEG Fpz-Cz,-96.154
1.21875000,EEG Fpz-Cz,-101.404
1.21875000,ECG,2.39683
1.22265625,EEG Fpz-Cz,-106.166
1.22656250,EEG Fpz-Cz,-110.317
1.22656250,ECG,2.41636
1.23046875,EEG Fpz-Cz,-113.858
1.23437500,EEG Fpz-Cz,-116.789
1.23437500,ECG,2.43101
1.23828125,EEG Fpz-Cz,-119.109
1.24218750,EEG Fpz-Cz,-120.696
1.24218750,ECG,2.44078
1.24609375,EEG Fpz-Cz,-121.673
1.25000000,EEG Fpz-Cz,-122.039
1.25000000,ECG,2.44322
1.25390625,EEG Fpz-Cz,-121.673
1.25781250,EEG Fpz-Cz,-120.696
1.25781250,ECG,2.44078
1.26171875,EEG Fpz-Cz,-119.109
1.26562500,EEG Fpz-Cz,-116.789
1.26562500,ECG,2.43101
1.26953125,EEG Fpz-Cz,-113.858
1.27343750,EEG Fpz-Cz,-110.317
1.27343750,ECG,2.41636
1.27734375,EEG Fpz-Cz,-106.166
1.28125000,EEG Fpz-Cz,-101.404
1.28125000,ECG,2.39683
1.28515625,EEG Fpz-Cz,-96.154
1.28906250,EEG Fpz-Cz,-90.415
1.28906250,ECG,2.36996
1.29296875,EEG Fpz-Cz,-84.188
1.29687500,EEG Fpz-Cz,-77.350
1.29687500,ECG,2.33822
1.30078125,EEG Fpz-Cz,-70.269
1.30468750,EEG Fpz-Cz,-62.698
1.30468750,ECG,2.30159
1.30859375,EEG Fpz-Cz,-54.884
1.31250000,EEG Fpz-Cz,-46.703
1.31250000,ECG,2.25763
1.31640625,EEG Fpz-Cz,-38.278
1.32031250,EEG Fpz-Cz,-29.609
1.32031250,ECG,2.20879
1.32421875,EEG Fpz-Cz,-20.818
1.32812500,EEG Fpz-Cz,-11.905
1.32812500,ECG,2.15507
1.33203125,EEG Fpz-Cz,-2.991
1.33593750,EEG Fpz-Cz,6.044
1.33593750,ECG,2.09646
1.33984375,EEG Fpz-Cz,14.957
1.34375000,EEG Fpz-Cz,23.871
1.34375000,ECG,2.03053
1.34765625,EEG Fpz-Cz,32.662
1.35156250,EEG Fpz-Cz,41.209
1.35156250,ECG,1.96215
1.35546875,EEG Fpz-Cz,49.512
1.35937500,EEG Fpz-Cz,57.570
1.35937500,ECG,1.88889
1.36328125,EEG Fpz-Cz,65.385
1.36718750,EEG Fpz-Cz,72.833
1.36718750,ECG,1.81074
1.37109375,EEG Fpz-Cz,79.792
1.37500000,EEG Fpz-Cz,86.386
1.37500000,ECG,1.72772
1.37890625,EEG Fpz-Cz,92.491
1.38281250,EEG Fpz-Cz,98.107
1.38281250,ECG,1.64225
1.38671875,EEG Fpz-Cz,103.236
1.39062500,EEG Fpz-Cz,107.753
1.39062500,ECG,1.54945
1.39453125,EEG Fpz-Cz,111.661
1.39843750,EEG Fpz-Cz,115.079
1.39843750,ECG,1.45665
1.40234375,EEG Fpz-Cz,117.766
1.40625000,EEG Fpz-Cz,119.841
1.40625000,ECG,1.35897
1.41015625,EEG Fpz-Cz,121.184
1.41406250,EEG Fpz-Cz,122.039
1.41406250,ECG,1.25641
1.41796875,EEG Fpz-Cz,122.161
1.42187500,EEG Fpz-Cz,121.551
1.42187500,ECG,1.15140
1.42578125,EEG Fpz-Cz,120.330
1.42968750,EEG Fpz-Cz,118.498
1.42968750,ECG,1.04640
1.43359375,EEG Fpz-Cz,116.056
1.43750000,EEG Fpz-Cz,112.882
1.43750000,ECG,0.93651
1.44140625,EEG Fpz-Cz,109.096
1.44531250,EEG Fpz-Cz,104.823
1.44531250,ECG,0.82418
1.44921875,EEG Fpz-Cz,99.939
1.45312500,EEG Fpz-Cz,94.444
1.45312500,ECG,0.70940
1.45703125,EEG Fpz-Cz,88.462
1.46093750,EEG Fpz-Cz,82.112
1.46093750,ECG,0.59463
1.46484375,EEG Fpz-Cz,75.153
1.46875000,EEG Fpz-Cz,67.949
1.46875000,ECG,0.47741
1.47265625,EEG Fpz-Cz,60.256
1.47656250,EEG Fpz-Cz,52.320
1.47656250,ECG,0.36020
1.48046875,EEG Fpz-Cz,44.017
1.48437500,EEG Fpz-Cz,35.470
1.48437500,ECG,0.24054
1.48828125,EEG Fpz-Cz,26.801
1.49218750,EEG Fpz-Cz,18.010
1.49218750,ECG,0.12088
1.49609375,EEG Fpz-Cz,9.096
1.50000000,EEG Fpz-Cz,0.061
1.50000000,ECG,0.00122
1.50390625,EEG Fpz-Cz,-8.974
1.50781250,EEG Fpz-Cz,-17.888
1.50781250,ECG,-0.11844
1.51171875,EEG Fpz-Cz,-26.679
1.51562500,EEG Fpz-Cz,-35.348
1.51562500,ECG,-0.23810
1.51953125,EEG Fpz-Cz,-43.895
1.52343750,EEG Fpz-Cz,-52.198
1.52343750,ECG,-0.35775
1.52734375,EEG Fpz-Cz,-60.134
1.53125000,EEG Fpz-Cz,-67.827
1.53125000,ECG,-0.47497
1.53515625,EEG Fpz-Cz,-75.031
1.53906250,EEG Fpz-Cz,-81.990
1.53906250,ECG,-0.59219
1.54296875,EEG Fpz-Cz,-88.339
1.54687500,EEG Fpz-Cz,-94.322
1.54687500,ECG,-0.70696
1.55078125,EEG Fpz-Cz,-99.817
1.55468750,EEG Fpz-Cz,-104.701
1.55468750,ECG,-0.82173
1.55859375,EEG Fpz-Cz,-108.974
1.56250000,EEG Fpz-Cz,-112.759
1.56250000,ECG,-0.93407
1.56640625,EEG Fpz-Cz,-115.934
1.57031250,EEG Fpz-Cz,-118.376
1.57031250,ECG,-1.04396
1.57421875,EEG Fpz-Cz,-120.208
1.57812500,EEG Fpz-Cz,-121.429
1.57812500,ECG,-1.14896
1.58203125,EEG Fpz-Cz,-122.039
1.58593750,EEG Fpz-Cz,-121.917
1.58593750,ECG,-1.25397
1.58984375,EEG Fpz-Cz,-121.062
1.59375000,EEG Fpz-Cz,-119.719
1.59375000,ECG,-1.35653
1.59765625,EEG Fpz-Cz,-117.643
1.60156250,EEG Fpz-Cz,-114.957
1.60156250,ECG,-1.45421
1.60546875,EEG Fpz-Cz,-111.538
1.60937500,EEG Fpz-Cz,-107.631
1.60937500,ECG,-1.54701
1.61328125,EEG Fpz-Cz,-103.114
1.61718750,EEG Fpz-Cz,-97.985
1.61718750,ECG,-1.63980
1.62109375,EEG Fpz-Cz,-92.369
1.62500000,EEG Fpz-Cz,-86.264
1.62500000,ECG,-1.72527
1.62890625,EEG Fpz-Cz,-79.670
1.63281250,EEG Fpz-Cz,-72.711
1.63281250,ECG,-1.80830
1.63671875,EEG Fpz-Cz,-65.263
1.64062500,EEG Fpz-Cz,-57.448
1.64062500,ECG,-1.88645
1.64453125,EEG Fpz-Cz,-49.389
1.64843750,EEG Fpz-Cz,-41.087
1.64843750,ECG,-1.95971
1.65234375,EEG Fpz-Cz,-32.540
1.65625000,EEG Fpz-Cz,-23.748
1.65625000,ECG,-2.02808
1.66015625,EEG Fpz-Cz,-14.835
1.66406250,EEG Fpz-Cz,-5.922
1.66406250,ECG,-2.09402
1.66796875,EEG Fpz-Cz,3.114
1.67187500,EEG Fpz-Cz,12.027
1.67187500,ECG,-2.15263
1.67578125,EEG Fpz-Cz,20.940
1.67968750,EEG Fpz-Cz,29.731
1.67968750,ECG,-2.20635
1.68359375,EEG Fpz-Cz,38.400
1.68750000,EEG Fpz-Cz,46.825
1.68750000,ECG,-2.25519
1.69140625,EEG Fpz-Cz,55.006
1.69531250,EEG Fpz-Cz,62.821
1.69531250,ECG,-2.29915
1.69921875,EEG Fpz-Cz,70.391
1.70312500,EEG Fpz-Cz,77.473
1.70312500,ECG,-2.33578
1.70703125,EEG Fpz-Cz,84.310
1.71093750,EEG Fpz-Cz,90.537
1.71093750,ECG,-2.36752
1.71484375,EEG Fpz-Cz,96.276
1.71875000,EEG Fpz-Cz,101.526
1.71875000,ECG,-2.39438
1.72265625,EEG Fpz-Cz,106.288
1.72656250,EEG Fpz-Cz,110.440
1.72656250,ECG,-2.41392
1.73046875,EEG Fpz-Cz,113.980
1.73437500,EEG Fpz-Cz,116.911
1.73437500,ECG,-2.42857
1.73828125,EEG Fpz-Cz,119.231
1.74218750,EEG Fpz-Cz,120.818
1.74218750,ECG,-2.43834
1.74609375,EEG Fpz-Cz,121.795
1.75000000,EEG Fpz-Cz,122.161
1.75000000,ECG,-2.44078
1.75390625,EEG Fpz-Cz,121.795
1.75781250,EEG Fpz-Cz,120.818
1.75781250,ECG,-2.43834
1.76171875,EEG Fpz-Cz,119.231
1.76562500,EEG Fpz-Cz,116.911
1.76562500,ECG,-2.42857
1.76953125,EEG Fpz-Cz,113.980
1.77343750,EEG Fpz-Cz,110.440
1.77343750,ECG,-2.41392
1.77734375,EEG Fpz-Cz,106.288
1.78125000,EEG Fpz-Cz,101.526
1.78125000,ECG,-2.39438
1.78515625,EEG Fpz-Cz,96.276
1.78906250,EEG Fpz-Cz,90.537
1.78906250,ECG,-2.36752
1.79296875,EEG Fpz-Cz,84.310
1.79687500,EEG Fpz-Cz,77.473
1.79687500,ECG,-2.33578
1.80078125,EEG Fpz-Cz,70.391
